time,vehicle_id,checkpoint_id,gps_lng,gps_lat,speed_kmh,vehicle_count,data_scope,source_series
2026-09-10T18:00:00+00:00,KDD-T1-D0-B001,KDD-T1-D0,116.4074,39.9042,,22,noncommercial_demo,kdd2017_t1_d0
2026-09-10T18:20:00+00:00,KDD-T1-D0-B002,KDD-T1-D0,116.4074,39.9042,,24,noncommercial_demo,kdd2017_t1_d0
2026-09-10T18:40:00+00:00,KDD-T1-D0-B003,KDD-T1-D0,116.4074,39.9042,,14,noncommercial_demo,kdd2017_t1_d0
2026-09-10T19:00:00+00:00,KDD-T1-D0-B004,KDD-T1-D0,116.4074,39.9042,,26,noncommercial_demo,kdd2017_t1_d0
2026-09-10T19:20:00+00:00,KDD-T1-D0-B005,KDD-T1-D0,116.4074,39.9042,,15,noncommercial_demo,kdd2017_t1_d0
2026-09-10T19:40:00+00:00,KDD-T1-D0-B006,KDD-T1-D0,116.4074,39.9042,,16,noncommercial_demo,kdd2017_t1_d0
2026-09-10T20:00:00+00:00,KDD-T1-D0-B007,KDD-T1-D0,116.4074,39.9042,,11,noncommercial_demo,kdd2017_t1_d0
2026-09-10T20:20:00+00:00,KDD-T1-D0-B008,KDD-T1-D0,116.4074,39.9042,,17,noncommercial_demo,kdd2017_t1_d0
2026-09-10T20:40:00+00:00,KDD-T1-D0-B009,KDD-T1-D0,116.4074,39.9042,,19,noncommercial_demo,kdd2017_t1_d0
2026-09-10T21:00:00+00:00,KDD-T1-D0-B010,KDD-T1-D0,116.4074,39.9042,,17,noncommercial_demo,kdd2017_t1_d0
2026-09-10T21:20:00+00:00,KDD-T1-D0-B011,KDD-T1-D0,116.4074,39.9042,,11,noncommercial_demo,kdd2017_t1_d0
2026-09-10T21:40:00+00:00,KDD-T1-D0-B012,KDD-T1-D0,116.4074,39.9042,,18,noncommercial_demo,kdd2017_t1_d0
2026-09-10T22:00:00+00:00,KDD-T1-D0-B013,KDD-T1-D0,116.4074,39.9042,,12,noncommercial_demo,kdd2017_t1_d0
2026-09-10T22:20:00+00:00,KDD-T1-D0-B014,KDD-T1-D0,116.4074,39.9042,,10,noncommercial_demo,kdd2017_t1_d0
2026-09-10T22:40:00+00:00,KDD-T1-D0-B015,KDD-T1-D0,116.4074,39.9042,,4,noncommercial_demo,kdd2017_t1_d0
2026-09-10T23:00:00+00:00,KDD-T1-D0-B016,KDD-T1-D0,116.4074,39.9042,,1,noncommercial_demo,kdd2017_t1_d0
2026-09-10T23:20:00+00:00,KDD-T1-D0-B017,KDD-T1-D0,116.4074,39.9042,,6,noncommercial_demo,kdd2017_t1_d0
2026-09-10T23:40:00+00:00,KDD-T1-D0-B018,KDD-T1-D0,116.4074,39.9042,,2,noncommercial_demo,kdd2017_t1_d0
